Locality,DateBins,Lat.,Long.,D_sum,N_sum,B_sum,R_sum,x_sum,F_sum,Q_sum,K_sum,E_sum,L_sum,n_sum,A_sum,G_sum,I_sum,J_sum,C_sum,O_sum,H_sum,P_sum,T_sum,y_haplos_sum
Alicante. Villena. Cabezo Redondo,3001-3500,38.6433,-0.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alicante. Villena. Cueva de las Lechuzas,4501-5000,38.630293,-0.863,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,5
Alicante. Villena. Peñón de la Zorra,4501-5000,38.644582,-0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alicante. Villena. Puntal de los Carniceros,3501-4000,38.627399,-0.864597,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Almaty Region. Kerbulak District. Kaspan Valley. Kaspan-2. mound 3,2501-3000,43.65,78.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Almaty Region. Kerbulak District. Kaspan Valley. Kaspan-6. mound 1,2501-3000,44.49,78.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Almaty. Talgar. Birlik,2501-3000,51.1387083,75.7151889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Almonda. Galeria da Cisterna,4001-4500,39.5,-8.616666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpes-Maritimes. Les Bréguières,6501-7000,43.7,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Alpes-Maritimes. Les Bréguières,7001-7500,43.7,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Alpes-Maritimes. Pendimoun,7001-7500,43.81,7.510000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Alsace. Lingolsheim,6501-7000,48.554457,7.681749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alsónyék-Elkerülő 2,6501-7000,46.204523,18.729916,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Alsónyék. site 11,6001-6500,46.204523,18.729916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alsónémedi,5001-5500,47.31875,19.16692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
