+------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+---------------+-----------+-----------+----------+----------+----------+---------+----------+----------+---------+-----------+-----------+-----------+-----------+---------+-----------+----------+---------+-----------+-----------+----------+----------------+
|      | CombinedBins                                                                                                                                                                                                                                                                                                                                                                                                                          |       Lat. |         Long. |     I_sum |     F_sum |    E_sum |    A_sum |    Q_sum |   D_sum |    H_sum |    R_sum |   x_sum |     N_sum |     G_sum |     T_sum |     B_sum |   K_sum |     L_sum |    n_sum |   O_sum |     C_sum |     J_sum |    P_sum |   y_haplos_sum |
|  628 | England. East Riding of Yorkshire. Thornholme. East Coast Pipeline (field 16) ( 2001-2500 )                                                                                                                                                                                                                                                                                                                                           |  54.1265   |   -0.287967   |   0       |   0       |   0      |   0      |   0      |       0 |   0      | 100      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|  629 | England. East Riding of Yorkshire. Thornholme. Town Pasture ( 1501-2000 )                                                                                                                                                                                                                                                                                                                                                             |  54.0559   |   -0.307592   |   0       |   0       |   0      |   0      |   0      |       0 |   0      | 100      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|  630 | England. Gloucestershire. Bishop's Cleeve. Cleevelands ( 1501-2000 )                                                                                                                                                                                                                                                                                                                                                                  |  51.9524   |   -2.07873    |  50       |   0       |   0      |   0      |   0      |       0 |   0      |  50      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              2 |
|  631 | England. Gloucestershire. Bourton-on-the-water. Greystones Farm ( 2001-2500 )                                                                                                                                                                                                                                                                                                                                                         |  51.8859   |   -1.75349    |  50       |   0       |   0      |   0      |   0      |       0 |   0      |  50      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              2 |
|  632 | England. Gloucestershire. Cheltenham. Hazleton North ( 5001-5500 )                                                                                                                                                                                                                                                                                                                                                                    |  51.8612   |   -1.88301    |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|  633 | England. Gloucestershire. Cheltenham. Hazleton North ( 5501-6000 )                                                                                                                                                                                                                                                                                                                                                                    |  51.8612   |   -1.88301    | 100       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              4 |
|  634 | England. Gloucestershire. Chipping Norton. Upper Swell ( 5501-6000 )                                                                                                                                                                                                                                                                                                                                                                  |  51.5611   |   -1.44592    | 100       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|  635 | England. Gloucestershire. Fairford. Saxon Way ( 2001-2500 )                                                                                                                                                                                                                                                                                                                                                                           |  51.7097   |   -1.79181    |   0       |   0       |   0      |   0      |   0      |       0 |   0      | 100      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|  636 | England. Gloucestershire. Hampnett. Burn Ground ( 5501-6000 )                                                                                                                                                                                                                                                                                                                                                                         |  51.8434   |   -1.85044    | 100       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              3 |
|  637 | England. Gloucestershire. Lechlade-on-Thames. Lechlade Memorial Hall/Skate Park ( 2001-2500 )                                                                                                                                                                                                                                                                                                                                         |  51.698    |   -1.69209    |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|  638 | England. Gloucestershire. Lechlade-on-Thames. Lechlade Memorial Hall/Skate Park ( 2501-3000 )                                                                                                                                                                                                                                                                                                                                         |  51.698    |   -1.69209    |   0       |   0       |   0      |   0      |   0      |       0 |   0      | 100      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|  639 | England. Gloucestershire. Lechlade-on-Thames. Lechlade Memorial Hall/Skate Park ( 4001-4500 )                                                                                                                                                                                                                                                                                                                                         |  51.698    |   -1.69209    |   0       |   0       |   0      |   0      |   0      |       0 |   0      | 100      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              2 |
|  640 | England. Hampshire. Barton-Stacey Pipeline ( 2001-2500 )                                                                                                                                                                                                                                                                                                                                                                              |  51.15     |   -1.36       |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|  641 | England. Hampshire. Barton-Stacey Pipeline ( 4001-4500 )                                                                                                                                                                                                                                                                                                                                                                              |  51.15     |   -1.36       |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|  642 | England. Hampshire. Middle Wallop. Suddern Farm ( 2001-2500 )                                                                                                                                                                                                                                                                                                                                                                         |  51.1409   |   -1.59834    |   0       |  20       |   0      |   0      |   0      |       0 |   0      |  80      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              5 |
|  643 | England. Hampshire. Nether Wallop. Danebury ( 2001-2500 )                                                                                                                                                                                                                                                                                                                                                                             |  51.1383   |   -1.53093    |  25       |  25       |   0      |   0      |   0      |       0 |   0      |  50      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              4 |
|  644 | England. Hampshire. Stockbridge. New Buildings ( 2001-2500 )                                                                                                                                                                                                                                                                                                                                                                          |  51.1365   |   -1.49403    | 100       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|  645 | England. Hampshire. Stockbridge. New Buildings ( 2501-3000 )                                                                                                                                                                                                                                                                                                                                                                          |  51.1365   |   -1.49403    |   0       |   0       |   0      |   0      |   0      |       0 |   0      | 100      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|  646 | England. Hampshire. Winnall Down ( 2001-2500 )                                                                                                                                                                                                                                                                                                                                                                                        |  51.07     |   -1.29       |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|  647 | England. Kent ( 0-1000 )                                                                                                                                                                                                                                                                                                                                                                                                              |  51.19     |    0.73       |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|  648 | England. Kent. Cliffs End Farm ( 2001-2500 )                                                                                                                                                                                                                                                                                                                                                                                          |  51.3292   |    1.36931    |  33.3333  |   0       |   0      |   0      |   0      |       0 |   0      |  66.6667 |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              3 |
|  649 | England. Kent. Cliffs End Farm ( 2501-3000 )                                                                                                                                                                                                                                                                                                                                                                                          |  51.3292   |    1.36931    |   0       |   0       |   0      |   0      |   0      |       0 |   0      |  75      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |  25      |              4 |
|  650 | England. Kent. East Kent Access Road ( 2001-2500 )                                                                                                                                                                                                                                                                                                                                                                                    |  51.3603   |    1.3405     |   0       |   0       |   0      |   0      |   0      |       0 |   0      | 100      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              7 |
|  651 | England. Kent. East Kent Access Road ( 2501-3000 )                                                                                                                                                                                                                                                                                                                                                                                    |  51.3603   |    1.3405     |   0       |   0       |   0      |   0      |   0      |       0 |   0      | 100      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              3 |
|  652 | England. Kent. East Kent Access Road ( 3001-3500 )                                                                                                                                                                                                                                                                                                                                                                                    |  51.3603   |    1.3405     |   0       |   0       |   0      |   0      |   0      |       0 |   0      | 100      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              2 |
|  653 | England. Kent. East Kent Access Road ( 3501-4000 )                                                                                                                                                                                                                                                                                                                                                                                    |  51.3603   |    1.3405     |   0       |   0       |   0      |   0      |   0      |       0 |   0      | 100      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|  654 | England. Kent. Eastry ( 1001-1500 )                                                                                                                                                                                                                                                                                                                                                                                                   |  51.2      |    1.3        |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|  655 | England. Kent. Isle of Sheppey. Neats Court ( 3501-4000 )                                                                                                                                                                                                                                                                                                                                                                             |  51.4233   |    0.738864   |   0       |   0       |   0      |   0      |   0      |       0 |   0      | 100      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|  656 | England. Kent. Margetts Pit ( 3001-3500 )                                                                                                                                                                                                                                                                                                                                                                                             |  51.3323   |    0.4784     |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|  657 | England. Kent. Polhill ( 1001-1500 )                                                                                                                                                                                                                                                                                                                                                                                                  |  51.3      |    0.2        |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|  658 | England. Kent. Sittingbourne. Highsted ( 1501-2000 )                                                                                                                                                                                                                                                                                                                                                                                  |  51.3233   |    0.73696    |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|  659 | England. Kent. Trottiscliffe. Coldrum ( 5001-5500 )                                                                                                                                                                                                                                                                                                                                                                                   |  51.3216   |    0.372682   | 100       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              3 |
|  660 | England. Lincolnshire. Langtoft ( 3001-3500 )                                                                                                                                                                                                                                                                                                                                                                                         |  52.6963   |   -0.34       |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|  661 | England. Lincolnshire. Langtoft ( 3501-4000 )                                                                                                                                                                                                                                                                                                                                                                                         |  52.6963   |   -0.34       |   0       |   0       |   0      |   0      |   0      |       0 |   0      | 100      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|  662 | England. Lincolnshire. West Deeping ( 4001-4500 )                                                                                                                                                                                                                                                                                                                                                                                     |  52.67     |   -0.35       |   0       |   0       |   0      |   0      |   0      |       0 |   0      | 100      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|  663 | England. London. Mortlake. River Thames Skulls ( 3501-4000 )                                                                                                                                                                                                                                                                                                                                                                          |  51.4712   |   -0.266408   |   0       |   0       |   0      |   0      |   0      |       0 |   0      | 100      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|  664 | England. London. River Thames. Putney Foreshore ( 2001-2500 )                                                                                                                                                                                                                                                                                                                                                                         |  51.4662   |   -0.212202   |   0       |   0       |   0      |   0      |   0      |       0 |   0      | 100      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|  665 | England. London. Syon Reach. River Thames Skulls ( 4001-4500 )                                                                                                                                                                                                                                                                                                                                                                        |  51.4742   |   -0.309898   |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|  666 | England. Needingworth Quarry. Over Narrows ( 3001-3500 )                                                                                                                                                                                                                                                                                                                                                                              |  52.34     |    0.03       |   0       |   0       |   0      |   0      |   0      |       0 |   0      | 100      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              2 |
|  667 | England. Needingworth Quarry. Over Narrows ( 3501-4000 )                                                                                                                                                                                                                                                                                                                                                                              |  52.34     |    0.03       |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|  668 | England. Needingworth Quarry. Over Narrows ( 4001-4500 )                                                                                                                                                                                                                                                                                                                                                                              |  52.34     |    0.03       |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|  669 | England. Norfolk. Sedgeford ( 1001-1500 )                                                                                                                                                                                                                                                                                                                                                                                             |  52.8999   |    0.513293   |  50       |   0       |   0      |   0      |   0      |       0 |   0      |  50      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              2 |
|  670 | England. North Ablington. Figheldean ( 4001-4500 )                                                                                                                                                                                                                                                                                                                                                                                    |  51.22     |   -1.77       |   0       |   0       |   0      |   0      |   0      |       0 |   0      | 100      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|  671 | England. North Yorkshire. Attermire Scar. Jubilee Cave ( 5001-5500 )                                                                                                                                                                                                                                                                                                                                                                  |  54.0817   |   -2.27362    | 100       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              2 |
|  672 | England. North Yorkshire. Cockerham. Elbolton Cave ( 3001-3500 )                                                                                                                                                                                                                                                                                                                                                                      |  54.0504   |   -1.98927    |   0       |   0       |   0      |   0      |   0      |       0 |   0      | 100      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|  673 | England. North Yorkshire. Cockerham. Elbolton Cave ( 5501-6000 )                                                                                                                                                                                                                                                                                                                                                                      |  54.0504   |   -1.98927    | 100       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|  674 | England. North Yorkshire. Grassington. 3 Barrow Sites ( 3501-4000 )                                                                                                                                                                                                                                                                                                                                                                   |  54.0827   |   -1.99691    |   0       |   0       |   0      |   0      |   0      |       0 |   0      | 100      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              2 |
|  675 | England. North Yorkshire. Ha Cave. Giggleswick Scar ( 5501-6000 )                                                                                                                                                                                                                                                                                                                                                                     |  54.0744   |   -2.28728    | 100       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              3 |
|  676 | England. North Yorkshire. Ingleborough Hill. Fox Holes Cave ( 5501-6000 )                                                                                                                                                                                                                                                                                                                                                             |  54.1659   |   -2.39773    |   0       |   0       |   0      |   0      |   0      |       0 |   0      | 100      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|  677 | England. North Yorkshire. Ingleton. Raven Scar Cave ( 2501-3000 )                                                                                                                                                                                                                                                                                                                                                                     |  54.1551   |   -2.47205    |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|  678 | England. North Yorkshire. Kelco Cave. Giggleswick Scar ( 5501-6000 )                                                                                                                                                                                                                                                                                                                                                                  |  54.0744   |   -2.28728    | 100       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|  679 | England. North Yorkshire. Raven Scar Cave ( 2501-3000 )                                                                                                                                                                                                                                                                                                                                                                               |  54.176    |   -2.41636    |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|  680 | England. North Yorkshire. Ribblesdale. Selside Grike ( 1001-1500 )                                                                                                                                                                                                                                                                                                                                                                    |  54.1606   |   -2.32801    |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|  681 | England. North Yorkshire. Scorton Quarry ( 1501-2000 )                                                                                                                                                                                                                                                                                                                                                                                |  54.3955   |   -1.614      |   0       |   0       |   0      |   0      |   0      |       0 |   0      | 100      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|  682 | England. North Yorkshire. Scorton Quarry ( 2001-2500 )                                                                                                                                                                                                                                                                                                                                                                                |  54.3955   |   -1.614      |   0       |   0       |   0      |   0      |   0      |       0 |   0      |  50      |       0 |   0       |  50       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              2 |
|  683 | England. North Yorkshire. Staxton. Staxton Beacon ( 3501-4000 )                                                                                                                                                                                                                                                                                                                                                                       |  54.2019   |   -0.434355   |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|  684 | England. North Yorkshire. Stockton-on-Tees. Norton. Norton Bishops Mill ( 1001-1500 )                                                                                                                                                                                                                                                                                                                                                 |  54.3542   |   -1.2758     | 100       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|  685 | England. North Yorkshire. Stockton-on-Tees. Norton. Norton East Mill ( 1001-1500 )                                                                                                                                                                                                                                                                                                                                                    |  54.5945   |   -1.3094     |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|  686 | England. North Yorkshire. Vale of Pickering. West Heslerton ( 1001-1500 )                                                                                                                                                                                                                                                                                                                                                             |  54.171    |   -0.605739   |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|  687 | England. Northampton. Banbury Lane ( 5001-5500 )                                                                                                                                                                                                                                                                                                                                                                                      |  52.2173   |   -0.940217   | 100       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              3 |
|  688 | England. Northumberland. Barrasford. Reaverhill ( 3501-4000 )                                                                                                                                                                                                                                                                                                                                                                         |  55.058    |   -2.147      |   0       |   0       |   0      |   0      |   0      |       0 |   0      | 100      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|  689 | England. Northumberland. Hexham Golf Course ( 3501-4000 )                                                                                                                                                                                                                                                                                                                                                                             |  54.979    |   -2.123      |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|  690 | England. Northumberland. Low Hauxley ( 3501-4000 )                                                                                                                                                                                                                                                                                                                                                                                    |  55.31     |   -1.55333    |   0       |   0       |   0      |   0      |   0      |       0 |   0      | 100      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              2 |
|  691 | England. Oxford. St John's College Oxford ( 1001-1500 )                                                                                                                                                                                                                                                                                                                                                                               |  51.76     |   -1.26       |  50       |   0       |   0      |   0      |   0      |       0 |   0      |  45.4545 |       0 |   0       |   0       |   0       |   4.54545 |       0 |   0       |   0      |       0 |   0       |   0       |   0      |             22 |
