+------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+---------------+-----------+-----------+----------+----------+----------+---------+----------+----------+---------+-----------+-----------+-----------+-----------+---------+-----------+----------+---------+-----------+-----------+----------+----------------+
|      | CombinedBins                                                                                                                                                                                                                                                                                                                                                                                                                          |       Lat. |         Long. |     I_sum |     F_sum |    E_sum |    A_sum |    Q_sum |   D_sum |    H_sum |    R_sum |   x_sum |     N_sum |     G_sum |     T_sum |     B_sum |   K_sum |     L_sum |    n_sum |   O_sum |     C_sum |     J_sum |    P_sum |   y_haplos_sum |
|   18 | Ajvide ( 4501-5000 )                                                                                                                                                                                                                                                                                                                                                                                                                  |  57.2811   |   18.1691     | 100       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|   19 | Akapana ( 0-1000 )                                                                                                                                                                                                                                                                                                                                                                                                                    | -16.5564   |  -68.6725     |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   20 | Akapana ( 1001-1500 )                                                                                                                                                                                                                                                                                                                                                                                                                 | -16.5564   |  -68.6725     |   0       |   0       |   0      |   0      | 100      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              3 |
|   21 | Aktaş Mevki (Southeast. Mardin. Midyat) ( 1001-1500 )                                                                                                                                                                                                                                                                                                                                                                                 |  37.415    |   41.373      |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   22 | Aktaş Mevki (Southeast. Mardin. Midyat) ( 2001-2500 )                                                                                                                                                                                                                                                                                                                                                                                 |  37.415    |   41.373      |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   23 | Aktobe Region. Alginskiy District. Ilek River Basin. Sapibulak. mound 7 ( 2001-2500 )                                                                                                                                                                                                                                                                                                                                                 |  48.24     |   58.94       |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   24 | Aktobe Region. Martuk District. Bisoba. mound 3 ( 2001-2500 )                                                                                                                                                                                                                                                                                                                                                                         |  48.24     |   58.94       |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   25 | Aktobe Region. Wil Village. Wil River bank. Segizsay. mound 1 ( 2001-2500 )                                                                                                                                                                                                                                                                                                                                                           |  49.24     |   54.45       |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   26 | Aktobe Region. Wil Village. Wil River bank. Segizsay. mound 2 ( 2001-2500 )                                                                                                                                                                                                                                                                                                                                                           |  49.24     |   54.45       |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   27 | Aktogai ( 3501-4000 )                                                                                                                                                                                                                                                                                                                                                                                                                 |  46.9659   |   80.0347     |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
